<<<<<<< HEAD
crew_id,name,role,base,qualified_types,weekly_max_duty_hrs,leave_status,sccm_certified,experience_months
CPT037,Capt. Kira Jain,Captain,MAA,ATR72|B737|A321|A320|A350,80,Available,False,217
CPT038,Capt. Atharv Tiwari,Captain,BLR,A320|A350|ATR72,85,Available,False,122
CPT039,Capt. Atharv Jain,Captain,DEL,A320|B777|A321|ATR72|A350,80,Available,False,181
CPT040,Capt. Kavya Agarwal,Captain,HYD,A350|A320|ATR72|B737,85,Available,False,234
CPT041,Capt. Geeta Nair,Captain,CCU,B737|B777|A321|A320,75,Available,False,187
CPT042,Capt. Ramesh Gupta,Captain,BOM,A320|A321|A350,85,Available,False,84
CPT043,Capt. Arjun Joshi,Captain,HYD,B777|ATR72|A320|A350,80,Available,False,101
CPT044,Capt. Reyansh Mishra,Captain,DEL,A320|B777|A350,80,Available,False,157
CPT045,Capt. Nisha Agarwal,Captain,CCU,B737|B777|A350|ATR72|A320,80,Available,False,88
CPT046,Capt. Rohan Tiwari,Captain,DEL,A350|ATR72|B777|A321,85,Available,False,229
CPT047,Capt. Anaya Bansal,Captain,HYD,A320|ATR72|B777|A321|B737,85,Available,False,69
CPT048,Capt. Kabir Jain,Captain,DEL,A320|A350|B777|A321|B737,75,Available,False,90
CPT049,Capt. Geeta Nair,Captain,CCU,B737|B777|A321|A320,85,Available,False,129
CPT050,Capt. Nita Bhatt,Captain,HYD,B777|B737|A321|ATR72,80,Available,False,177
CPT051,Capt. Rajesh Desai,Captain,MAA,ATR72|A350|B737|A321,80,Available,False,73
CPT052,Capt. Kiara Verma,Captain,BOM,B737|A321|A350|ATR72|A320,75,Available,False,95
CPT053,Capt. Reyansh Choudhury,Captain,HYD,A321|A320|B737|B777,85,Available,False,158
CPT054,Capt. Dinesh Iyer,Captain,MAA,B777|A350|A320,85,Available,False,104
CPT055,Capt. Saanvi Tiwari,Captain,DEL,A350|A320|ATR72|A321,75,Available,False,120
CPT056,Capt. Kira Menon,Captain,MAA,A350|B737|A321|ATR72|B777,85,Available,False,178
CPT057,Capt. Meera Kapoor,Captain,BOM,A321|ATR72|A320,75,Available,False,235
CPT058,Capt. Ishaan Bansal,Captain,BOM,A350|A321|B777,85,Available,False,102
CPT059,Capt. Reyansh Nair,Captain,CCU,B777|A321|B737|ATR72,85,Available,False,174
CPT060,Capt. Rita Verma,Captain,MAA,ATR72|A321|A320|A350,85,Available,False,103
CPT061,Capt. Dinesh Choudhury,Captain,MAA,ATR72|A350|B737,85,Available,False,156
CPT062,Capt. Mira Iyer,Captain,CCU,B737|A350|A321|B777|A320,85,Available,False,153
CPT063,Capt. Meera Sinha,Captain,BLR,ATR72|A350|A320|B737,85,Available,False,133
CPT064,Capt. Ishaan Khan,Captain,MAA,A350|ATR72|A321|B737,75,Available,False,176
CPT065,Capt. Sunita Bansal,Captain,MAA,A350|B737|B777|ATR72,75,Available,False,160
CPT066,Capt. Atharv Dubey,Captain,BOM,A321|A350|ATR72|B777,85,Available,False,199
CPT067,Capt. Sita Malhotra,Captain,BOM,B737|ATR72|A321|B777,80,Available,False,223
CPT068,Capt. Sita Agarwal,Captain,HYD,A320|A350|ATR72,80,Available,False,211
CPT069,Capt. Zara Khan,Captain,HYD,A320|ATR72|B737|B777|A321,85,Available,False,155
CPT070,Capt. Naresh Dubey,Captain,DEL,B777|A321|A350|A320,85,Available,False,146
CPT071,Capt. Kiara Joshi,Captain,HYD,B737|A320|B777|A350,85,Available,False,188
CPT072,Capt. Ramesh Iyer,Captain,BOM,A320|A321|B737,80,Available,False,238
CPT073,Capt. Atharv Chandra,Captain,BOM,ATR72|A350|B777,80,Available,False,121
CPT074,Capt. Sita Mishra,Captain,HYD,A320|ATR72|B777|B737,85,Available,False,151
CPT075,Capt. Diya Khan,Captain,CCU,A320|B777|B737|A321,75,Available,False,123
CPT076,Capt. Reyansh Sinha,Captain,DEL,B737|A321|A320,80,Available,False,158
CPT077,Capt. Aisha Shah,Captain,BLR,A350|A320|A321|B777|B737,80,Available,False,94
CPT078,Capt. Aarav Singh,Captain,DEL,B777|B737|A350,80,Available,False,95
CPT079,Capt. Zara Chandra,Captain,CCU,A321|ATR72|A320|A350|B737,80,Available,False,72
CPT080,Capt. Rajesh Shah,Captain,HYD,ATR72|A350|A321|B777,75,Available,False,221
CPT081,Capt. Ishaan Agarwal,Captain,MAA,B737|B777|ATR72|A320|A350,85,Available,False,156
CPT082,Capt. Mira Desai,Captain,BOM,A320|ATR72|A350,75,Available,False,156
CPT083,Capt. Dinesh Shah,Captain,DEL,B737|A321|A320,85,Available,False,189
CPT084,Capt. Meera Malhotra,Captain,CCU,A320|ATR72|B777|A350,85,Available,False,155
CPT085,Capt. Dinesh Bhatt,Captain,BLR,A320|B737|A321|ATR72,85,Available,False,215
CPT086,Capt. Kira Bansal,Captain,BLR,ATR72|B777|A320|A321|A350,85,Available,False,194
CPT087,Capt. Sunita Malhotra,Captain,HYD,B737|A320|A321|B777|ATR72,85,Available,False,238
CPT088,Capt. Tara Chandra,Captain,CCU,ATR72|A320|A350|A321,85,Available,False,68
CPT089,Capt. Kira Kapoor,Captain,HYD,B737|B777|A320,75,Available,False,177
CPT090,Capt. Nita Verma,Captain,BOM,A321|ATR72|B777,85,Available,False,185
CPT091,Capt. Rita Bansal,Captain,BLR,A350|ATR72|A321|A320,75,Available,False,76
CPT092,Capt. Advait Khan,Captain,BLR,B777|ATR72|A321|B737|A320,75,Available,False,147
CPT093,Capt. Aarav Iyer,Captain,BOM,A320|B737|A350|B777|ATR72,80,Available,False,100
CPT094,Capt. Mira Rao,Captain,BOM,B737|B777|A321|A320,80,Available,False,70
CPT095,Capt. Arnav Desai,Captain,MAA,A350|A320|B777|B737,85,Available,False,75
CPT096,Capt. Advait Bhatt,Captain,BLR,A350|A321|B777|A320|ATR72,75,Available,False,190
CPT097,Capt. Arnav Kapoor,Captain,BOM,ATR72|B777|A350|A320,80,Available,False,194
CPT098,Capt. Ishaan Khan,Captain,DEL,B737|B777|A350|A320|ATR72,75,Available,False,108
CPT099,Capt. Mahesh Kapoor,Captain,MAA,A321|A320|B737|ATR72,75,Available,False,166
CPT100,Capt. Ira Chandra,Captain,DEL,A321|A350|A320|ATR72|B737,85,Available,False,206
CPT101,Capt. Naresh Singh,Captain,HYD,B737|A350|ATR72|B777|A320,75,Available,False,229
CPT102,Capt. Sunita Verma,Captain,MAA,B737|A320|A350|A321,85,Available,False,161
CPT103,Capt. Mira Pandey,Captain,BLR,A320|A321|ATR72,80,Available,False,226
CPT104,Capt. Arjun Pandey,Captain,BOM,A320|A321|B777,75,Available,False,220
CPT105,Capt. Diya Menon,Captain,CCU,ATR72|B777|A320|B737,75,Available,False,203
CPT106,Capt. Ganesh Shukla,Captain,HYD,B737|A350|A320,75,Available,False,163
CPT107,Capt. Ishaan Nair,Captain,CCU,B777|A321|ATR72|A320,85,Available,False,134
CPT108,Capt. Advait Reddy,Captain,BLR,A321|B737|A350,85,Available,False,66
CPT109,Capt. Vivaan Bhatt,Captain,CCU,A320|B737|A350,85,Available,False,111
CPT110,Capt. Vivaan Chandra,Captain,BOM,B777|A320|ATR72|A350,75,Available,False,236
CPT111,Capt. Riya Shukla,Captain,HYD,B737|A350|B777|A321|ATR72,80,Available,False,105
CPT112,Capt. Mahesh Nair,Captain,MAA,B737|B777|A321,80,Available,False,131
CPT113,Capt. Kiara Dubey,Captain,BOM,A321|A350|B777,80,Available,False,129
CPT114,Capt. Suresh Desai,Captain,BOM,A350|B737|A321|A320,80,Available,False,216
CPT115,Capt. Ramesh Pandey,Captain,BLR,A320|A350|B737|ATR72,85,Available,False,172
CPT116,Capt. Zara Menon,Captain,MAA,ATR72|A350|B777|A320,85,Available,False,172
CPT117,Capt. Atharv Patel,Captain,MAA,A350|A320|ATR72,80,Available,False,86
CPT118,Capt. Arnav Gupta,Captain,BOM,B737|B777|ATR72|A350,85,Available,False,106
CPT119,Capt. Vihaan Mishra,Captain,CCU,A350|A321|B777,85,Available,False,214
CPT120,Capt. Geeta Sharma,Captain,BLR,A320|B737|B777,75,Available,False,159
CPT121,Capt. Nita Patel,Captain,DEL,ATR72|A350|A320|A321,80,Available,False,223
CPT122,Capt. Aarush Bansal,Captain,BLR,ATR72|A321|A350|B777|A320,80,Available,False,177
CPT123,Capt. Aisha Shukla,Captain,BOM,B737|ATR72|A321|A350|B777,80,Available,False,88
CPT124,Capt. Meera Bhatt,Captain,CCU,B777|B737|A321|ATR72|A320,80,Available,False,91
CPT125,Capt. Sunita Tiwari,Captain,CCU,A350|ATR72|B777,75,Available,False,147
CPT126,Capt. Vivaan Reddy,Captain,HYD,A320|B777|A350|B737,85,Available,False,104
CPT127,Capt. Vihaan Jain,Captain,DEL,A321|B737|A320|A350|B777,85,Available,False,128
CPT128,Capt. Dinesh Sinha,Captain,HYD,A320|A321|A350,85,Available,False,224
CPT129,Capt. Aarush Mishra,Captain,DEL,B737|A320|A321|B777,85,Available,False,231
CPT130,Capt. Geeta Chandra,Captain,HYD,ATR72|B777|A320|A321|A350,80,Available,False,114
CPT131,Capt. Geeta Khan,Captain,BOM,B777|ATR72|B737|A350,80,Available,False,195
CPT132,Capt. Rohan Singh,Captain,HYD,A350|A321|B737,80,Training,False,172
CPT133,Capt. Rohan Kapoor,Captain,HYD,B777|A350|A320|ATR72,80,Available,False,149
CPT134,Capt. Arjun Iyer,Captain,CCU,A321|A320|ATR72,80,Available,False,169
CPT135,Capt. Ganesh Bansal,Captain,HYD,A321|B777|A320|A350|ATR72,85,Available,False,143
CPT136,Capt. Priya Verma,Captain,MAA,ATR72|A321|B777,80,Available,False,160
CPT137,Capt. Aarush Gupta,Captain,MAA,B737|B777|A321|A350,80,Available,False,67
CPT138,Capt. Sita Saxena,Captain,DEL,A321|A350|A320|B737,75,Available,False,93
CPT139,Capt. Dinesh Verma,Captain,MAA,ATR72|B777|A321|B737|A320,75,Available,False,97
CPT140,Capt. Saanvi Sinha,Captain,BLR,ATR72|A321|B737|A320|B777,80,Available,False,77
CPT141,Capt. Reyansh Mishra,Captain,DEL,B737|A321|ATR72|A320,80,Available,False,130
CPT142,Capt. Kavya Shukla,Captain,HYD,A350|A320|A321|ATR72,85,Available,False,192
CPT143,Capt. Sunita Iyer,Captain,MAA,A321|A320|ATR72|B737|B777,85,Available,False,166
CPT144,Capt. Anaya Chandra,Captain,DEL,A321|B737|A320|A350,80,Available,False,132
CPT145,Capt. Mira Reddy,Captain,MAA,A350|B737|A320|ATR72,85,Available,False,222
CPT146,Capt. Mahesh Chandra,Captain,CCU,A321|ATR72|A320|B777|A350,80,Available,False,82
CPT147,Capt. Ramesh Kapoor,Captain,BOM,A320|ATR72|B777,80,Available,False,75
CPT148,Capt. Suresh Kapoor,Captain,MAA,B777|B737|A350|A320|ATR72,85,Available,False,234
CPT149,Capt. Atharv Verma,Captain,BOM,B737|A321|A350|A320|ATR72,75,Available,False,141
CPT150,Capt. Nita Gupta,Captain,BLR,A320|A350|ATR72|A321|B777,85,Available,False,168
CPT151,Capt. Kabir Pandey,Captain,CCU,ATR72|A350|A320|B737,75,Available,False,62
CPT152,Capt. Kiara Choudhury,Captain,BLR,A320|ATR72|A321|B737,75,Available,False,63
CPT153,Capt. Tara Khan,Captain,BOM,ATR72|B737|A350|B777,85,Available,False,191
CPT154,Capt. Ramesh Gupta,Captain,CCU,A321|ATR72|A320|A350|B777,85,Available,False,134
CPT155,Capt. Atharv Singh,Captain,BOM,A350|ATR72|B737|A321,80,Available,False,138
CPT156,Capt. Umesh Malhotra,Captain,HYD,B737|A321|ATR72|A350,85,Available,False,192
CPT157,Capt. Aisha Patel,Captain,DEL,A350|A321|B737|ATR72,80,Available,False,197
CPT158,Capt. Diya Choudhury,Captain,BLR,A321|B737|B777|A320,80,Available,False,119
CPT159,Capt. Tara Agarwal,Captain,DEL,B737|A320|A350|ATR72|B777,75,Available,False,85
CPT160,Capt. Meera Tiwari,Captain,DEL,ATR72|B777|A320,80,Available,False,96
CPT161,Capt. Ishaan Joshi,Captain,DEL,A321|A350|B737|B777,80,Available,False,87
CPT162,Capt. Vivaan Choudhury,Captain,HYD,B737|A350|ATR72|A321|A320,75,Available,False,115
CPT163,Capt. Tara Rao,Captain,CCU,ATR72|A320|A321|A350,75,Available,False,214
CPT164,Capt. Mahesh Bansal,Captain,MAA,A320|ATR72|B777|A321,75,Available,False,177
CPT165,Capt. Naresh Sinha,Captain,DEL,B737|A350|ATR72|B777|A320,85,Available,False,162
CPT166,Capt. Ramesh Pandey,Captain,BOM,B737|A320|A350|ATR72,80,Available,False,223
CPT167,Capt. Nita Patel,Captain,BLR,B777|ATR72|B737|A320,85,Available,False,176
CPT168,Capt. Ganesh Sinha,Captain,BOM,ATR72|B737|B777|A320|A321,80,Available,False,156
CPT169,Capt. Geeta Kumar,Captain,HYD,A320|A350|B737,85,Available,False,164
CPT170,Capt. Umesh Pandey,Captain,CCU,B737|A350|A320,80,Available,False,238
CPT171,Capt. Atharv Shukla,Captain,BLR,ATR72|B777|B737|A321,85,Available,False,166
CPT172,Capt. Geeta Jain,Captain,DEL,B777|ATR72|A350|B737,85,Available,False,191
CPT173,Capt. Vivaan Mishra,Captain,DEL,B737|A321|A350|A320,85,Available,False,185
CPT174,Capt. Kira Sinha,Captain,DEL,A320|B777|A350|ATR72,75,Available,False,154
CPT175,Capt. Anaya Mishra,Captain,BLR,A321|B737|B777|A320,85,Available,False,136
CPT176,Capt. Ishaan Patel,Captain,DEL,A321|B777|B737|A350|ATR72,80,Available,False,225
CPT177,Capt. Meera Dubey,Captain,HYD,ATR72|A350|A321,75,Available,False,127
CPT178,Capt. Vivaan Dubey,Captain,BOM,B777|ATR72|B737,85,Available,False,73
CPT179,Capt. Sita Chandra,Captain,BOM,B737|A350|A320|ATR72|B777,80,Available,False,79
CPT180,Capt. Saanvi Choudhury,Captain,BLR,ATR72|B777|A320|A321|B737,75,Available,False,117
CPT181,Capt. Advait Shah,Captain,BLR,B777|A350|ATR72|A320|B737,80,Available,False,93
CPT182,Capt. Umesh Kumar,Captain,MAA,A321|ATR72|A350,80,Available,False,192
CPT183,Capt. Rajesh Reddy,Captain,DEL,A320|A350|A321,75,Available,False,96
CPT184,Capt. Vihaan Khan,Captain,CCU,A320|B737|A350|A321|B777,80,Available,False,77
CPT185,Capt. Nita Shukla,Captain,HYD,B737|B777|A321|ATR72|A350,85,Available,False,121
CPT186,Capt. Priya Shukla,Captain,HYD,A320|B737|A321|A350,85,Available,False,190
CPT187,Capt. Zara Desai,Captain,MAA,B777|A350|B737|A320|A321,85,Available,False,195
CPT188,Capt. Reyansh Menon,Captain,CCU,A350|ATR72|B777|A321,75,Available,False,85
CPT189,Capt. Mahesh Patel,Captain,DEL,A320|A321|B777|ATR72|B737,75,Available,False,239
CPT190,Capt. Aarav Tiwari,Captain,DEL,ATR72|A321|B777|B737,80,Available,False,214
CPT191,Capt. Tara Chandra,Captain,DEL,A350|ATR72|A320|B777,80,Available,False,137
CPT192,Capt. Kabir Tiwari,Captain,CCU,A321|B777|ATR72|B737,85,Available,False,139
CPT193,Capt. Kiara Sharma,Captain,DEL,ATR72|B737|A320|A321,80,Available,False,198
CPT194,Capt. Zara Gupta,Captain,HYD,B777|B737|A320|ATR72|A321,80,Available,False,104
CPT195,Capt. Rita Shah,Captain,BOM,B777|A321|ATR72|B737|A320,75,Available,False,164
CPT196,Capt. Nisha Gupta,Captain,BLR,A321|B777|A320|ATR72|B737,85,Available,False,212
CPT197,Capt. Geeta Chandra,Captain,HYD,A321|B777|A320,80,Available,False,166
CPT198,Capt. Kabir Verma,Captain,BLR,B737|B777|ATR72,80,Available,False,202
CPT199,Capt. Rajesh Kapoor,Captain,BLR,B737|A320|A350,75,Available,False,109
CPT200,Capt. Arnav Choudhury,Captain,MAA,A350|B737|B777,80,Available,False,89
FO001,FO. Kavya Mishra,First Officer,DEL,A350|B777|A320,75,Available,False,40
FO002,FO. Sunita Agarwal,First Officer,DEL,B737|B777|A321|ATR72,80,Available,False,107
FO003,FO. Sunita Gupta,First Officer,BLR,A321|ATR72|A350,75,Available,False,77
FO004,FO. Aarush Kapoor,First Officer,CCU,ATR72|A320|B737|B777,75,Available,False,100
FO005,FO. Arjun Jain,First Officer,DEL,A350|B777|A320|B737|ATR72,75,Available,False,25
FO006,FO. Ganesh Singh,First Officer,DEL,A320|A350|B737|ATR72|A321,85,Available,False,108
FO007,FO. Priya Jain,First Officer,BLR,ATR72|A320|A321,85,Available,False,72
FO008,FO. Nita Pandey,First Officer,DEL,A321|B777|ATR72|A320|B737,75,Available,False,94
FO009,FO. Ganesh Reddy,First Officer,BLR,A350|B737|A321|ATR72|A320,85,Available,False,87
FO010,FO. Suresh Sinha,First Officer,BLR,A350|ATR72|B777,80,Available,False,24
FO011,FO. Nita Shah,First Officer,DEL,B737|B777|A350,75,Available,False,39
FO012,FO. Ishaan Malhotra,First Officer,BLR,B737|A350|A321|ATR72,75,Available,False,66
FO013,FO. Ishaan Shah,First Officer,HYD,B777|A320|B737|A350,75,Available,False,100
FO014,FO. Suresh Choudhury,First Officer,BLR,B777|A320|B737|A350|A321,80,Available,False,84
FO015,FO. Diya Dubey,First Officer,HYD,A350|B777|A320,80,Available,False,26
FO016,FO. Reyansh Dubey,First Officer,HYD,B777|A320|A350,85,Available,False,47
FO017,FO. Ira Kapoor,First Officer,CCU,A320|A350|B737,75,Available,False,102
FO018,FO. Suresh Choudhury,First Officer,HYD,ATR72|B737|A321|A320|A350,80,Available,False,33
FO019,FO. Meera Menon,First Officer,BLR,A321|ATR72|B777,75,Available,False,56
FO020,FO. Nisha Choudhury,First Officer,DEL,A320|A350|B737,80,Available,False,54
FO021,FO. Aisha Sharma,First Officer,CCU,A320|B737|A321|A350|ATR72,80,Available,False,94
FO022,FO. Kiara Shah,First Officer,BLR,A321|ATR72|B737,80,Available,False,87
FO023,FO. Reyansh Verma,First Officer,CCU,A321|B777|B737,75,Available,False,31
FO024,FO. Anaya Menon,First Officer,BOM,B737|A321|A320|A350,75,Available,False,33
FO025,FO. Saanvi Singh,First Officer,HYD,A350|B737|B777,80,Available,False,33
FO026,FO. Kabir Malhotra,First Officer,BOM,B777|B737|A321|A350|ATR72,75,Available,False,34
FO027,FO. Aarush Dubey,First Officer,MAA,A350|A321|ATR72|B777,85,Available,False,113
FO028,FO. Anaya Verma,First Officer,HYD,A320|ATR72|B777|A321,80,Available,False,109
FO029,FO. Aarav Patel,First Officer,CCU,A320|ATR72|B737|A321|A350,80,Available,False,117
FO030,FO. Zara Tiwari,First Officer,HYD,B777|ATR72|A350,75,Available,False,40
FO031,FO. Riya Malhotra,First Officer,BLR,A320|ATR72|B737|B777,85,Available,False,79
FO032,FO. Ramesh Chandra,First Officer,BLR,A350|A320|B737,80,Available,False,105
FO033,FO. Rita Menon,First Officer,HYD,B777|A321|A350,80,Available,False,119
FO034,FO. Kabir Joshi,First Officer,BOM,ATR72|A350|B737|A321,75,Training,False,56
FO035,FO. Nisha Sharma,First Officer,CCU,ATR72|A321|A320|B737,85,Available,False,44
FO036,FO. Nita Malhotra,First Officer,MAA,B737|B777|ATR72|A350|A321,80,Available,False,108
FO037,FO. Geeta Agarwal,First Officer,BLR,A321|B777|A320,85,Available,False,116
FO038,FO. Nisha Choudhury,First Officer,DEL,B737|A321|A320|ATR72|A350,80,Available,False,51
FO039,FO. Meera Sinha,First Officer,MAA,A321|B737|A350,85,Available,False,97
FO040,FO. Ira Patel,First Officer,CCU,B777|A350|A321,85,Available,False,42
FO041,FO. Advait Tiwari,First Officer,DEL,A320|ATR72|A321|B737,80,Available,False,26
FO042,FO. Naresh Dubey,First Officer,CCU,B777|ATR72|A350|A320,80,Available,False,70
FO043,FO. Vihaan Singh,First Officer,BLR,A320|A350|B737,75,Available,False,107
FO044,FO. Aisha Iyer,First Officer,BLR,A320|B777|A321|B737,75,Available,False,26
FO045,FO. Ramesh Kumar,First Officer,HYD,A350|B737|A321,80,Available,False,40
FO046,FO. Priya Shukla,First Officer,MAA,A350|A321|B737|A320,80,Available,False,85
FO047,FO. Saanvi Jain,First Officer,HYD,ATR72|A321|B777,85,Available,False,111
FO048,FO. Suresh Mishra,First Officer,CCU,A350|B737|A320|A321|ATR72,85,Training,False,81
FO049,FO. Sunita Sharma,First Officer,CCU,A350|A320|B777|B737,85,Available,False,118
FO050,FO. Geeta Reddy,First Officer,MAA,B737|B777|A350|ATR72|A320,85,Available,False,48
FO051,FO. Vihaan Kumar,First Officer,MAA,ATR72|B777|A321,85,Available,False,103
FO052,FO. Aarav Bansal,First Officer,CCU,A321|A320|A350,85,Available,False,113
FO053,FO. Kavya Nair,First Officer,MAA,ATR72|A350|A320|B737,80,Available,False,76
FO054,FO. Aarav Verma,First Officer,HYD,A321|A320|B737|B777,85,Available,False,52
FO055,FO. Sunita Reddy,First Officer,CCU,A321|B777|B737|A320|ATR72,75,Available,False,111
FO056,FO. Vihaan Khan,First Officer,BOM,B737|B777|A350,75,Available,False,93
FO057,FO. Anaya Singh,First Officer,BLR,A320|A321|A350|ATR72|B777,80,Available,False,96
FO058,FO. Rita Malhotra,First Officer,CCU,B777|A320|A321|A350|B737,85,Available,False,32
FO059,FO. Sunita Kapoor,First Officer,BOM,B777|B737|A321,75,Available,False,34
FO060,FO. Aarav Reddy,First Officer,DEL,A321|B737|A320|ATR72|B777,75,Available,False,64
FO061,FO. Zara Saxena,First Officer,DEL,A320|B737|A350|A321|B777,75,Available,False,69
FO062,FO. Aisha Shah,First Officer,DEL,ATR72|A350|A320,80,Available,False,69
FO063,FO. Priya Menon,First Officer,BLR,A350|A320|B737|B777,75,Available,False,45
FO064,FO. Vivaan Agarwal,First Officer,MAA,B737|A350|ATR72|B777|A321,75,Available,False,58
FO065,FO. Rajesh Desai,First Officer,BOM,A350|A321|B737|A320|ATR72,80,Available,False,108
FO066,FO. Ramesh Tiwari,First Officer,MAA,A320|B737|A350|A321|ATR72,85,Available,False,64
FO067,FO. Mira Shah,First Officer,MAA,B737|A320|B777|A350,80,Available,False,28
FO068,FO. Ramesh Tiwari,First Officer,CCU,ATR72|A321|B777,85,Available,False,102
FO069,FO. Kira Reddy,First Officer,MAA,B737|A350|ATR72|A321,85,Available,False,88
FO070,FO. Umesh Menon,First Officer,HYD,A321|B737|ATR72,80,Available,False,120
FO071,FO. Ganesh Dubey,First Officer,BOM,B737|A350|B777,85,Training,False,74
FO072,FO. Naresh Chandra,First Officer,BLR,A321|B737|ATR72,75,Available,False,90
FO073,FO. Ira Singh,First Officer,DEL,A320|B777|A350|ATR72|B737,85,Available,False,98
FO074,FO. Ira Gupta,First Officer,BLR,B777|A320|A350|B737|A321,85,Available,False,94
FO075,FO. Kabir Sinha,First Officer,CCU,B737|A320|B777,75,Available,False,83
FO076,FO. Aarush Kapoor,First Officer,BOM,A320|A350|B737,85,Available,False,111
FO077,FO. Rajesh Reddy,First Officer,BOM,A320|A321|A350|B777|ATR72,75,Training,False,63
FO078,FO. Geeta Joshi,First Officer,HYD,B777|A321|ATR72|A350|B737,75,Available,False,47
FO079,FO. Geeta Khan,First Officer,DEL,A320|ATR72|A321,75,Available,False,44
FO080,FO. Anaya Pandey,First Officer,DEL,ATR72|A320|A321|B777,85,Available,False,37
FO081,FO. Priya Rao,First Officer,DEL,A321|B777|A350,85,Available,False,113
FO082,FO. Kiara Sharma,First Officer,BOM,A320|B737|ATR72|A350,75,Available,False,120
FO083,FO. Diya Menon,First Officer,HYD,A350|A320|ATR72|B777|A321,80,Available,False,38
FO084,FO. Rohan Khan,First Officer,BOM,A350|ATR72|B737|A321,85,Available,False,94
FO085,FO. Tara Bhatt,First Officer,MAA,A320|A321|A350,80,Available,False,66
FO086,FO. Nita Saxena,First Officer,BLR,A350|A321|ATR72|B737,85,Available,False,36
FO087,FO. Reyansh Iyer,First Officer,CCU,A320|A321|A350,85,Available,False,106
FO088,FO. Ramesh Malhotra,First Officer,DEL,ATR72|B737|A350,80,Available,False,36
FO089,FO. Ganesh Gupta,First Officer,HYD,B737|ATR72|B777|A320|A350,75,Available,False,69
FO090,FO. Saanvi Pandey,First Officer,DEL,B777|A320|A350|ATR72|B737,85,Available,False,90
